Jugador,Equipo,pos1,pos2,pos3,Edad,Valor de mercado (Transfermarkt),Partidos jugados,Minutos jugados,País de nacimiento,Pasaporte,Pie,Altura,Peso,"Duelos aéreos ganados, %",Acciones de ataque exitosas/90,Goles/90,xG/90,Goles de cabeza/90,Remates/90,"Tiros a la portería, %","Goles hechos, %","Duelos atacantes ganados, %",Toques en el área de penalti/90,Faltas recibidas/90,Pases/90,xA/90,Asistencias,Desmarques/90,Jugadas claves/90,Ataque en profundidad/90,Regates/90,"Regates realizados, %"
D. Camacho,Universitario de Vinto,RCMF,CF,AMF,26,400000,31,2253,Bolivia,Bolivia,derecho,178,72,56.67,1.28,0.16,0.12,0.04,0.8,40.0,20.0,30.84,1.12,0.8,26.76,0.07,0,0.08,0.24,0.48,0.88,54.55
Daniel Passira,Ha Noi,CF,,,29,375000,38,3231,Brazil,Brazil,,0,0,41.84,2.45,0.53,0.48,0.17,2.37,49.41,22.353,36.75,3.7,1.5,17.16,0.11,6,0.06,0.58,0.86,1.87,50.75
W. Álvarez,Nacional Potosí,CF,LAMF,,29,375000,33,1303,Bolivia,Bolivia,derecho,184,76,30.77,2.0,0.41,0.59,0.14,2.9,40.48,14.286,34.88,4.21,0.35,18.37,0.11,2,0.0,0.48,0.62,0.97,42.86
J. Correa,Malacateco,CF,,,32,350000,44,1832,Colombia,Colombia,derecho,185,86,44.0,1.23,0.44,0.35,0.25,1.77,47.22,25.0,22.46,3.44,1.23,16.51,0.03,1,0.2,0.25,0.84,1.03,23.81
J. Arrascaita,The Strongest,RCMF,RW,LCMF,31,350000,32,2691,Bolivia,Bolivia,derecho,175,65,42.86,1.81,0.17,0.16,0.0,1.24,43.24,13.514,42.02,1.74,1.61,35.82,0.08,1,0.17,0.37,1.14,1.77,54.72
G. Álvarez,Oriente Petrolero,CF,,,33,350000,37,2408,Bolivia,Bolivia,derecho,185,80,39.53,1.94,0.49,0.43,0.07,1.68,55.56,28.889,32.33,2.21,0.86,12.75,0.05,2,0.0,0.11,0.49,1.16,61.29
M. Tomianovic,Real Tomayapo,RW,RAMF,CF,23,350000,29,1308,Bolivia,"Bolivia, Croatia",derecho,167,68,28.57,4.61,0.0,0.13,0.0,1.65,20.83,0.0,37.5,1.93,1.44,27.73,0.12,1,0.07,0.62,0.76,5.37,50.0
G. Peredo,Guabirá,RW,,,25,350000,29,2449,Bolivia,Bolivia,derecho,0,0,45.45,2.46,0.44,0.31,0.0,1.95,49.06,22.642,40.0,3.01,0.55,23.7,0.12,2,0.04,0.37,0.37,1.84,52.0
D. Porozo,Leones del Norte,CF,RAMF,RW,27,350000,29,1784,Ecuador,Ecuador,derecho,172,67,24.56,3.43,0.4,0.25,0.05,2.17,46.51,18.605,39.63,3.58,1.26,13.02,0.08,3,0.05,0.5,0.66,3.23,54.69
C. Lucumí,Alianza,CF,,,25,350000,25,1039,Colombia,Colombia,derecho,186,81,54.9,2.17,0.43,0.62,0.09,3.55,41.46,12.195,23.44,4.59,0.35,10.48,0.02,0,0.0,0.26,0.35,1.47,35.29
E. Triverio,The Strongest,CF,,,36,350000,33,2499,Argentina,Argentina,derecho,183,82,40.0,2.52,0.43,0.39,0.07,2.48,50.72,17.391,33.93,4.07,1.33,23.01,0.15,5,0.14,0.43,1.12,1.51,57.14
H. Dorrego,Sportivo Luqueño,RAMF,AMF,RW,32,350000,28,1922,Uruguay,Uruguay,derecho,177,73,27.03,2.95,0.14,0.19,0.0,2.29,48.98,6.122,41.46,1.73,0.61,25.01,0.27,8,0.05,0.61,0.75,1.36,51.72
L. Gutiérrez,Juazeirense,CF,LW,RW,26,325000,24,1039,Bolivia,Bolivia,izquierdo,170,74,24.32,2.69,0.09,0.14,0.09,1.82,42.86,4.762,40.0,1.56,1.04,21.31,0.09,2,0.26,0.26,0.61,1.99,56.52
M. Ortega,Aurora,LW,AMF,CF,34,300000,34,2347,Colombia,Colombia,derecho,172,70,50.0,3.41,0.31,0.24,0.0,2.07,40.74,14.815,45.7,1.23,1.76,43.87,0.28,6,0.31,0.58,1.42,2.68,62.86
S. Garzón,Blooming,CF,LW,,26,300000,38,1860,Bolivia,Bolivia,derecho,175,0,28.57,3.53,0.44,0.36,0.0,2.52,44.23,17.308,37.7,3.53,1.31,16.69,0.02,1,0.24,0.34,0.53,3.97,50.0
J. Velasco,Always Ready,LB,LW,,21,300000,22,1996,Bolivia,Bolivia,izquierdo,174,67,57.5,1.17,0.0,0.02,0.0,0.77,17.65,0.0,38.46,0.59,0.68,23.45,0.02,1,0.0,0.18,0.23,1.13,56.0
