Jugador,Equipo,pos1,pos2,pos3,Edad,Valor de mercado (Transfermarkt),Partidos jugados,Minutos jugados,País de nacimiento,Pasaporte,Pie,Altura,Peso,"Duelos aéreos ganados, %",Acciones de ataque exitosas/90,Goles/90,xG/90,Goles de cabeza/90,Remates/90,"Tiros a la portería, %","Goles hechos, %","Duelos atacantes ganados, %",Toques en el área de penalti/90,Faltas recibidas/90,Pases/90,xA/90,Asistencias,Desmarques/90,Jugadas claves/90,Ataque en profundidad/90,Regates/90,"Regates realizados, %"
Marcus Vinicius,Medellín,CF,LW,LWF,28,800000,24,815,Brazil,Brazil,derecho,188,82,11.76,2.98,0.22,0.35,0.11,2.76,32.0,8.0,42.71,1.77,2.43,29.26,0.05,1,0.0,0.33,0.88,3.31,60.0
R. Falcao,,CF,,,39,800000,26,1524,Colombia,"Colombia, Venezuela",derecho,177,72,25.58,2.01,0.65,0.48,0.24,2.72,41.3,23.913,32.05,2.89,1.71,16.89,0.06,0,0.18,0.24,0.47,1.59,51.85
R. Holgado,América de Cali,CF,,,30,800000,45,3144,Argentina,Argentina,derecho,179,79,38.62,1.75,0.29,0.41,0.06,2.06,37.5,13.889,25.88,3.98,1.23,19.04,0.08,4,0.03,0.34,0.77,2.0,42.86
Jhon Vásquez,Atlético Bucaramanga,CF,RAMF,RW,30,800000,45,2111,Colombia,Colombia,derecho,176,78,43.42,5.16,0.13,0.17,0.04,1.15,22.22,11.111,43.88,2.3,1.88,24.13,0.14,0,0.21,0.47,0.81,5.93,57.55
D. Mosquera,Hellas Verona,CF,,,25,700000,39,1878,Colombia,Colombia,derecho,180,65,37.67,2.2,0.34,0.49,0.05,3.02,31.75,11.111,30.37,3.55,1.05,16.58,0.02,1,0.1,0.14,0.48,2.2,54.35
G. Lencina,Tolima,CF,,,27,700000,33,2591,Argentina,Argentina,derecho,178,74,25.58,1.95,0.38,0.45,0.03,2.43,44.29,15.714,32.6,3.33,1.53,12.89,0.09,4,0.03,0.28,0.56,1.46,42.86
A. Ponce,Academia Puerto Cabello,CF,,,28,700000,39,2375,Venezuela,"Venezuela, Colombia",derecho,182,80,22.03,0.91,0.15,0.28,0.0,2.08,27.27,7.273,15.54,3.52,0.91,13.41,0.06,1,0.04,0.19,0.57,0.61,31.25
Renan Oliveira,Sarajevo,CF,,,28,700000,29,1725,Brazil,Brazil,izquierdo,186,88,33.96,1.88,0.26,0.38,0.1,2.87,30.91,9.091,34.74,4.17,0.57,16.7,0.07,3,0.16,0.31,0.68,1.1,71.43
J. Barrera,,CF,RAMF,AMF,29,700000,35,2741,Colombia,Colombia,izquierdo,172,75,31.82,3.05,0.03,0.09,0.03,1.94,25.42,1.695,40.87,1.44,2.1,42.36,0.12,5,0.39,0.43,1.48,3.28,50.0
J. Córdoba,Instituto,RAMF,RW,,25,700000,45,2566,Colombia,Colombia,derecho,183,77,34.38,3.61,0.21,0.16,0.04,1.37,43.59,15.385,40.0,3.05,1.12,20.38,0.08,3,0.18,0.56,0.6,3.82,55.05
A. Sarmiento,Atlético Nacional,LAMF,LW,,27,700000,54,3207,Colombia,Colombia,derecho,176,60,58.06,2.33,0.25,0.23,0.0,1.82,40.0,13.846,33.83,2.33,1.63,22.51,0.08,7,0.17,0.42,0.93,2.86,42.16
R. Hinojosa,Unión Magdalena,AMF,RAMF,RW,26,700000,21,1094,Colombia,Colombia,izquierdo,170,65,27.27,2.47,0.0,0.06,0.0,1.15,42.86,0.0,43.17,0.41,3.21,37.43,0.08,0,0.41,0.25,1.73,2.47,60.0
D. Quiñónes,Once Caldas,RW,RWF,CF,29,700000,28,1548,Colombia,Colombia,izquierdo,171,73,47.83,4.24,0.12,0.16,0.0,1.51,38.46,7.692,47.1,2.27,2.5,30.99,0.12,2,0.17,0.52,1.63,4.94,64.71
B. Gil,Baltika,CF,,,24,700000,25,1801,Colombia,"Colombia, El Salvador",derecho,185,78,31.16,2.13,0.5,0.61,0.16,3.33,45.31,14.063,24.82,4.32,0.52,15.71,0.05,1,0.0,0.16,0.57,1.35,46.15
Á. Castro,Millonarios,LW,LAMF,RAMF,31,700000,44,3170,Colombia,Colombia,izquierdo,170,62,23.91,3.55,0.06,0.06,0.0,0.99,20.0,5.714,34.86,2.07,0.99,39.66,0.12,6,0.14,0.51,1.08,4.03,46.48
S. Giordana,Millonarios,CF,AMF,,30,700000,35,1201,Argentina,Argentina,derecho,177,73,29.79,2.17,0.22,0.28,0.07,2.17,41.38,10.345,34.78,3.07,1.42,15.96,0.02,1,0.22,0.22,0.45,2.02,40.74
K. Perez,Tolima,LAMF,LW,RAMF,28,650000,47,2628,Colombia,Colombia,derecho,170,69,42.31,3.25,0.14,0.12,0.03,1.4,31.71,9.756,33.66,1.88,1.27,32.67,0.12,3,0.24,0.48,1.1,4.25,49.19
A. Parra,Tolima,CF,LAMF,,28,600000,35,2152,Colombia,Colombia,derecho,179,75,25.0,1.51,0.25,0.28,0.04,1.55,32.43,16.216,31.71,3.09,1.13,24.59,0.11,3,0.33,0.42,1.21,0.96,60.87
J. Blanco,Técnico Universitario,CF,,,33,600000,28,2083,Colombia,Colombia,derecho,181,69,45.99,1.04,0.22,0.35,0.0,1.69,43.59,12.821,19.47,3.33,0.6,17.37,0.05,0,0.09,0.13,0.86,0.39,44.44
L. Sandoval,Medellín,CF,LWF,,26,600000,50,3830,Colombia,Colombia,derecho,183,78,32.39,2.26,0.16,0.21,0.0,1.79,35.53,9.211,35.92,3.5,1.15,30.81,0.13,5,0.52,0.59,1.67,1.88,48.75
S. Lucumí,Alajuelense,CF,RAMF,RW,30,600000,44,3180,Colombia,Colombia,derecho,178,74,41.28,3.14,0.08,0.15,0.0,1.47,25.0,5.769,39.87,2.92,1.81,32.72,0.1,1,0.34,0.4,1.47,3.62,60.16
M. Barrios,Once Caldas,LAMF,LW,RW,34,600000,52,4404,Colombia,Colombia,derecho,163,60,25.51,3.09,0.25,0.18,0.04,1.88,43.48,13.043,36.51,2.66,0.76,19.27,0.13,5,0.16,0.55,1.1,3.64,42.7
D. Mantilla,Deportivo Cali,LAMF,LW,RW,28,600000,24,1365,Colombia,Colombia,derecho,173,70,44.44,2.04,0.13,0.1,0.07,0.66,40.0,20.0,36.63,3.23,0.79,24.66,0.15,4,0.0,0.59,0.92,2.44,51.35
N. Rodríguez,Orlando City,RAMF,RW,,21,550000,28,1894,Colombia,Colombia,izquierdo,171,56,40.54,4.28,0.24,0.18,0.05,2.09,25.0,11.364,46.58,0.81,1.9,34.59,0.17,4,0.29,0.38,1.24,5.32,54.46
W. Hurtado,Envigado,AMF,CF,,21,550000,19,704,Colombia,Colombia,,170,64,9.09,4.09,0.0,0.08,0.0,1.92,26.67,0.0,34.07,1.28,0.89,33.49,0.18,0,0.51,0.89,0.89,3.58,64.29
E. Valencia,Tolima,LAMF,RW,RAMF,28,550000,26,1029,Colombia,Colombia,izquierdo,175,73,33.33,5.51,0.09,0.18,0.0,1.49,23.53,5.882,47.06,2.8,1.31,37.61,0.08,1,0.35,0.7,1.22,5.34,68.85
E. López,Santa Fe,CF,LWF,LW,30,500000,41,2587,Colombia,Colombia,derecho,179,77,42.11,2.12,0.1,0.07,0.0,1.01,41.38,10.345,30.66,2.16,1.01,23.41,0.07,3,0.03,0.38,0.59,2.64,39.47
A. Estacio,Deportivo Pereira,RAMF,LWF,RW,27,500000,19,943,Colombia,Colombia,izquierdo,178,78,30.43,3.44,0.0,0.15,0.0,2.86,36.67,0.0,44.58,1.53,2.0,19.95,0.05,0,0.1,0.29,0.57,2.77,62.07
F. Boné,Deportivo Pasto,RW,LW,CF,29,500000,25,1572,Uruguay,"Uruguay, Italy",izquierdo,176,67,32.14,2.0,0.29,0.23,0.11,1.32,39.13,21.739,42.11,1.26,2.58,18.55,0.1,2,0.34,0.23,0.86,2.63,41.3
D. Camacho,Deportivo Pasto,RW,RWF,RAMF,28,500000,27,1670,Colombia,Colombia,derecho,178,72,37.84,1.72,0.11,0.18,0.0,1.24,43.48,8.696,32.35,2.59,0.7,27.7,0.08,0,0.27,0.43,1.02,1.13,47.62
Y. González,Águilas Doradas,CF,AMF,,31,500000,29,2185,Colombia,Colombia,derecho,184,81,40.95,3.13,0.25,0.26,0.12,2.1,41.18,11.765,40.35,3.75,1.89,23.19,0.08,1,0.04,0.08,0.82,3.5,51.76
J. Caballero,Águilas Doradas,LAMF,LW,LWF,27,500000,31,2095,Colombia,Colombia,derecho,185,72,32.5,2.79,0.13,0.17,0.0,1.55,44.44,8.333,40.61,1.89,1.37,33.55,0.15,3,0.13,0.34,1.29,2.02,63.83
B. Castrillón,Junior,LAMF,LW,,26,500000,40,2271,Colombia,Colombia,derecho,173,67,18.18,3.37,0.24,0.16,0.0,2.02,37.25,11.765,41.21,2.89,1.11,28.93,0.2,5,0.16,0.52,1.15,3.88,44.9
Y. Chará,Junior,AMF,LAMF,RW,34,500000,53,4364,Colombia,Colombia,derecho,168,65,36.17,1.88,0.08,0.08,0.02,0.85,41.46,9.756,41.67,2.04,1.67,43.23,0.13,6,0.29,0.58,1.3,1.65,52.5
E. Sosa,Tolima,AMF,CF,,28,450000,11,556,Venezuela,Venezuela,derecho,173,75,0.0,4.21,0.0,0.11,0.0,2.27,42.86,0.0,56.25,0.97,4.21,34.96,0.29,2,1.13,0.49,0.97,3.72,73.91
L. Ríos,Cúcuta Deportivo,AMF,RCMF,CF,27,450000,28,1411,Argentina,Argentina,derecho,176,75,40.0,3.95,0.0,0.09,0.0,2.23,11.43,0.0,48.85,1.98,1.53,37.44,0.19,5,0.96,0.45,1.53,4.4,63.77
S. Támara,Cúcuta Deportivo,RCMF,CF,,29,450000,24,1483,Colombia,Colombia,derecho,173,69,42.31,1.27,0.06,0.06,0.0,0.97,18.75,6.25,38.67,0.79,1.09,39.57,0.23,4,0.42,0.42,0.73,0.49,37.5
C. Torres,Envigado,RAMF,CF,LW,22,450000,16,877,Colombia,Colombia,,0,0,25.0,3.28,0.21,0.12,0.0,1.03,30.0,20.0,35.92,1.44,3.28,13.55,0.03,1,0.21,0.21,0.51,5.13,46.0
K. Osorio,Deportivo Pereira,LDMF,LW,LCMF,31,450000,34,2418,Colombia,Colombia,izquierdo,181,74,50.72,1.23,0.04,0.07,0.0,0.82,31.82,4.545,55.26,0.89,1.0,33.24,0.06,1,0.26,0.15,0.71,0.71,73.68
H. Mosquera,Santa Fe,CF,AMF,LAMF,30,450000,44,3022,Colombia,Colombia,derecho,172,70,33.68,6.02,0.24,0.26,0.06,2.92,35.71,8.163,39.01,3.48,1.1,26.8,0.18,6,0.24,0.74,0.89,5.42,62.09
E. Mena,Medellín,RB,RW,LB,27,450000,41,3214,Colombia,Colombia,derecho,178,63,40.95,3.5,0.03,0.07,0.0,1.06,36.84,2.632,41.32,2.3,0.64,30.77,0.12,4,0.06,0.56,0.95,2.97,59.43
S. Rodríguez,Junior,CF,AMF,,26,450000,49,2059,Colombia,Colombia,derecho,177,72,38.0,1.97,0.57,0.61,0.0,2.67,36.07,21.311,33.14,3.15,1.53,14.42,0.02,0,0.17,0.0,0.66,2.05,44.68
F. Castañeda,Banfield,RAMF,LW,RW,31,450000,44,2265,Colombia,Colombia,derecho,172,70,34.88,3.81,0.32,0.26,0.0,1.99,44.0,16.0,41.7,2.34,2.07,31.79,0.14,6,0.24,0.44,0.95,3.02,52.63
K. Londoño,Atlético Bucaramanga,CF,LAMF,RW,31,450000,54,4698,Colombia,Colombia,derecho,180,72,30.72,2.32,0.11,0.17,0.04,1.55,39.51,7.407,32.06,2.09,0.52,30.77,0.09,6,0.13,0.29,0.59,1.36,60.56
F. Castillo,Deportivo Cali,LAMF,LW,CF,33,450000,15,692,Colombia,Colombia,derecho,171,70,16.67,3.64,0.0,0.03,0.0,0.91,28.57,0.0,38.46,1.56,1.04,34.21,0.08,1,0.78,0.52,1.04,4.29,60.61
D. Moreno,Amed SK,CF,LW,,30,400000,45,4056,Colombia,Colombia,derecho,179,78,32.53,3.37,0.55,0.52,0.02,3.14,38.41,18.116,37.05,3.53,1.12,18.85,0.06,3,0.05,0.34,0.57,2.53,60.36
F. López,Unión La Calera,CF,AMF,,32,400000,23,817,Uruguay,Uruguay,derecho,172,71,21.67,1.21,0.11,0.22,0.0,1.76,31.25,6.25,35.62,3.08,1.21,18.4,0.03,1,0.0,0.33,0.44,1.43,46.15
O. Acosta,Real Cartagena,LB,LCMF,LW,25,400000,26,1760,Colombia,Colombia,izquierdo,178,67,56.52,1.89,0.1,0.1,0.0,0.97,52.63,10.526,38.3,0.56,0.66,30.22,0.07,1,0.05,0.26,0.2,0.77,60.0
C. Bacca,Junior,CF,,,38,400000,44,3003,Colombia,Colombia,derecho,181,77,46.27,1.2,0.36,0.39,0.12,1.77,44.07,20.339,26.51,2.4,0.18,11.03,0.05,4,0.21,0.36,0.72,0.81,29.63
A. Rentería,Jaguares de Córdoba,CF,,,32,400000,33,2339,Colombia,"Colombia, Mexico",derecho,179,82,32.98,2.5,0.65,0.48,0.08,2.5,46.15,26.154,43.21,3.5,1.42,12.58,0.05,2,0.08,0.15,0.62,1.65,69.77
W. Cruz,Cúcuta Deportivo,CF,RW,,32,400000,36,2497,Colombia,Colombia,derecho,171,62,39.38,1.19,0.07,0.17,0.04,1.33,29.73,5.405,32.51,1.69,1.41,13.8,0.04,2,0.04,0.11,0.47,1.01,60.71
B. Garcés,Envigado,CF,,,32,400000,40,2364,Colombia,Colombia,derecho,174,70,23.08,0.84,0.19,0.22,0.0,1.68,29.55,11.364,29.01,2.21,0.84,10.81,0.04,2,0.11,0.15,0.49,0.99,30.77
Y. Cabrera,Deportivo Pereira,AMF,CF,,34,400000,27,1352,Colombia,Colombia,derecho,168,62,23.53,1.6,0.2,0.11,0.0,0.93,57.14,21.429,31.65,1.0,1.0,45.6,0.13,0,0.87,0.2,1.26,0.87,53.85
M. Martínez,Unión Magdalena,CF,,,27,400000,30,1691,Colombia,Colombia,derecho,175,70,37.97,1.7,0.21,0.3,0.05,1.76,45.45,12.121,37.5,2.71,2.08,13.57,0.05,1,0.21,0.21,0.43,1.54,51.72
R. Murillo,Primorje,CF,,,23,400000,24,780,Colombia,Colombia,derecho,183,76,44.12,2.08,0.69,0.46,0.12,3.0,50.0,23.077,28.77,4.04,1.85,16.62,0.01,0,0.0,0.0,0.46,2.08,27.78
C. Cortes,Llaneros,CF,,,23,400000,23,1111,Colombia,Colombia,derecho,186,0,41.77,0.73,0.16,0.19,0.16,0.97,50.0,16.667,24.14,2.35,1.62,14.01,0.05,1,0.0,0.16,0.41,1.3,18.75
L. Miranda,Llaneros,RAMF,RW,LW,27,400000,35,1306,Colombia,Colombia,derecho,180,64,43.14,2.21,0.07,0.06,0.0,0.83,25.0,8.333,34.31,1.58,1.38,23.5,0.07,1,0.0,0.21,0.14,2.21,50.0
E. Mosquera,Millonarios,LAMF,LW,RAMF,24,400000,21,778,Colombia,Colombia,derecho,172,68,12.5,8.56,0.23,0.19,0.0,2.31,30.0,10.0,56.56,4.05,1.85,31.47,0.15,0,0.35,0.93,1.5,8.56,71.62
L. Pons,Atlético Bucaramanga,CF,,,35,400000,35,2267,Argentina,Argentina,derecho,181,79,39.84,1.51,0.48,0.49,0.16,2.54,48.44,18.75,30.0,3.61,1.43,16.4,0.04,2,0.12,0.24,0.83,0.44,36.36
I. Anderson,Marathón,RB,RW,,27,375000,33,2498,Panama,Panama,derecho,175,68,54.39,3.82,0.04,0.1,0.0,1.04,34.48,3.448,47.32,1.91,1.19,29.0,0.12,5,0.07,0.58,0.72,3.46,62.5
C. Colmán,Nacional Asunción,CF,,,31,375000,27,1596,Paraguay,Paraguay,derecho,185,79,47.24,1.75,0.17,0.21,0.06,1.8,43.75,9.375,40.63,2.99,0.79,16.07,0.04,2,0.11,0.28,0.73,0.96,52.94
D. Silva,Millonarios,AMF,CF,LCMF,38,350000,42,3268,Colombia,Colombia,derecho,175,74,29.63,2.26,0.14,0.14,0.03,1.13,41.46,12.195,40.16,1.93,1.07,48.17,0.14,3,0.77,0.61,1.51,1.85,52.24
A. Torralvo,La Equidad,LW,LWF,LB,31,350000,24,1160,Colombia,Colombia,izquierdo,169,67,34.78,1.24,0.0,0.02,0.0,0.7,11.11,0.0,39.39,0.39,0.62,25.99,0.05,2,0.16,0.31,0.16,0.47,66.67
P. Rojas,Anzoátegui FC,LW,RW,CF,33,350000,26,2019,Colombia,Colombia,derecho,168,72,31.48,2.67,0.04,0.1,0.0,1.2,29.63,3.704,42.22,1.34,2.27,29.51,0.18,3,0.36,0.53,1.29,2.63,50.85
J. Cuesta,UCV,LAMF,LW,CF,23,350000,38,2413,Colombia,Colombia,derecho,172,71,37.65,2.8,0.22,0.19,0.04,1.94,44.23,11.538,42.92,2.28,1.86,26.03,0.09,4,0.07,0.26,0.52,2.76,52.7
E. Arango,Boyacá Chicó,RW,RAMF,,31,350000,15,1257,Colombia,Colombia,derecho,173,63,21.05,5.37,0.21,0.12,0.0,1.86,38.46,11.538,38.68,1.72,2.36,32.86,0.16,0,0.07,0.43,0.79,6.37,48.31
K. Valencia,Llaneros,CF,,,23,350000,29,1048,Colombia,Colombia,derecho,184,79,31.03,1.37,0.26,0.12,0.09,1.46,41.18,17.647,29.07,2.58,0.86,10.31,0.03,0,0.0,0.0,0.09,1.55,44.44
Y. Moreno,Real España,CF,,,28,350000,30,2146,Colombia,Colombia,derecho,188,84,36.27,1.59,0.21,0.22,0.04,2.01,33.33,10.417,27.84,2.77,1.13,11.78,0.05,4,0.0,0.21,0.34,1.59,47.37
A. Arroyo,Fortaleza,AMF,CF,,23,350000,32,1488,Colombia,Colombia,derecho,171,68,26.67,2.36,0.3,0.15,0.0,1.51,32.0,20.0,33.91,1.88,1.33,32.24,0.09,1,0.18,0.3,1.03,1.94,59.38
Y. Quiñones,Deportivo Pereira,LAMF,LW,RAMF,22,350000,33,2412,Colombia,Colombia,izquierdo,173,65,30.19,3.32,0.34,0.15,0.0,2.05,47.27,16.364,43.22,1.98,1.9,22.35,0.07,1,0.07,0.3,0.63,2.87,57.14
J. Contreras,Unión Magdalena,LAMF,LW,,26,350000,37,1287,Colombia,Colombia,izquierdo,170,64,10.0,2.03,0.07,0.13,0.0,0.91,38.46,7.692,45.74,3.99,2.24,18.74,0.09,0,0.07,0.28,0.91,2.45,54.29
R. Márquez,Unión Magdalena,CF,,,27,350000,17,1105,Colombia,Colombia,derecho,187,83,30.0,2.12,0.16,0.13,0.08,1.71,47.62,9.524,33.08,2.12,2.04,15.88,0.03,0,0.0,0.41,0.24,1.95,66.67
L. Sánchez,Once Caldas,CF,LCMF,RCMF,24,350000,24,1833,Colombia,Colombia,derecho,173,63,42.86,3.04,0.1,0.16,0.05,1.91,30.77,5.128,43.06,1.82,1.96,41.98,0.06,1,0.69,0.15,1.28,3.44,58.57
F. Sambueza,Atlético Bucaramanga,AMF,CF,LW,36,350000,39,3169,Argentina,Argentina,derecho,169,65,36.84,2.3,0.11,0.11,0.0,1.31,39.13,8.696,42.56,1.31,3.55,32.55,0.22,7,0.34,0.4,1.45,2.44,55.81
A. Estupiñán,Deportivo Cali,CF,LW,LAMF,31,350000,35,2535,Colombia,Colombia,derecho,175,75,31.36,2.66,0.32,0.32,0.14,1.63,47.83,19.565,46.36,2.49,3.91,24.6,0.05,1,0.0,0.28,0.53,2.73,54.55
Pipe Gómez,Once Caldas,LAMF,CF,LWF,25,325000,43,1977,Colombia,Colombia,derecho,173,68,31.82,4.23,0.23,0.22,0.0,3.6,29.11,6.329,40.89,2.0,1.09,29.64,0.09,1,0.27,0.18,0.73,3.87,63.53
D. Lemos,Águilas Doradas,LW,LWF,LAMF,29,300000,23,1008,Colombia,Colombia,izquierdo,178,72,42.11,2.14,0.0,0.17,0.0,1.07,50.0,0.0,31.34,1.61,0.89,19.46,0.05,1,0.45,0.18,0.54,1.88,47.62
R. Castillo,Deportivo Pereira,CF,,,33,300000,37,2075,Honduras,Honduras,derecho,183,76,40.16,1.17,0.52,0.54,0.0,2.6,38.33,20.0,33.33,2.6,1.6,10.19,0.03,1,0.0,0.13,0.39,0.39,22.22
D. Pabón,Envigado,CF,RW,,37,300000,19,1385,Colombia,Colombia,derecho,168,72,23.08,3.18,0.13,0.22,0.0,3.12,41.67,4.167,41.67,1.82,1.1,22.35,0.07,1,0.32,0.13,0.84,1.88,51.72
A. Andrade,Atlético Bucaramanga,LAMF,RAMF,LW,36,300000,17,948,Colombia,"Colombia, Mexico",derecho,183,73,25.0,3.99,0.0,0.1,0.0,1.33,28.57,0.0,43.97,1.71,0.76,34.65,0.22,1,0.28,0.66,1.42,4.56,62.5
W. Fernández,Alianza,AMF,CF,LCMF,27,300000,30,2008,Uruguay,Uruguay,izquierdo,182,77,48.24,1.88,0.04,0.12,0.0,1.21,33.33,3.704,34.94,1.21,0.94,31.91,0.05,1,0.27,0.13,0.45,1.39,67.74
J. Viveros,Jaguares de Córdoba,AMF,CF,LW,33,300000,31,2252,Colombia,Colombia,derecho,176,70,34.78,2.72,0.04,0.09,0.0,1.36,29.41,2.941,48.2,1.08,5.16,38.77,0.13,1,0.64,0.52,1.36,3.32,53.01
J. Lloreda,Deportes Quindío,CF,,,30,300000,26,1077,Colombia,Colombia,derecho,178,73,37.29,1.75,0.25,0.31,0.0,1.84,50.0,13.636,39.66,3.09,1.59,16.63,0.04,0,0.25,0.08,0.92,0.92,63.64
A. Plata,Águilas Doradas,RAMF,RW,LAMF,34,300000,24,1181,Colombia,Colombia,derecho,172,65,25.0,4.95,0.08,0.09,0.0,0.99,23.08,7.692,42.98,2.67,0.69,19.66,0.12,1,0.15,0.38,0.91,4.95,64.62
A. Ricaurte,Fortaleza,AMF,CF,RDMF,33,300000,31,1308,Colombia,Colombia,izquierdo,182,75,42.11,1.79,0.28,0.17,0.07,1.58,26.09,17.391,51.65,0.96,2.41,50.16,0.12,1,0.76,0.28,1.79,0.48,71.43
D. Quintero,Deportivo Pereira,CF,AMF,,37,300000,32,2624,Colombia,"Colombia, Mexico",derecho,166,59,29.51,3.64,0.24,0.27,0.03,2.02,40.68,11.864,33.33,2.47,1.13,30.63,0.14,5,0.72,0.62,2.06,4.7,47.45
G. Torres,Deportivo Pereira,CF,RW,LW,29,300000,42,2133,Colombia,Colombia,derecho,181,78,35.43,1.94,0.08,0.23,0.04,2.11,28.0,4.0,27.46,2.7,0.72,19.49,0.05,4,0.08,0.3,0.25,1.81,46.51
Á. Rodríguez,Santa Fe,CF,,,36,300000,32,1146,Colombia,Colombia,derecho,183,83,32.79,1.41,0.16,0.2,0.0,1.18,40.0,13.333,20.77,3.3,0.86,11.39,0.09,3,0.16,0.55,1.18,2.04,38.46
J. Valencia,Medellín,LAMF,CF,LW,25,300000,31,1540,Colombia,Colombia,izquierdo,188,80,35.21,3.27,0.18,0.17,0.0,1.69,37.93,10.345,37.43,2.81,0.88,26.01,0.07,2,0.12,0.35,0.64,3.45,47.46
E. Lastre,Unión Magdalena,RAMF,RW,RWF,25,300000,16,500,Ecuador,Ecuador,derecho,177,73,33.33,3.24,0.0,0.19,0.0,1.44,25.0,0.0,37.5,1.44,1.26,18.18,0.03,1,0.0,0.18,0.0,3.6,60.0
B. Urueña,Llaneros,LW,LAMF,LWF,32,300000,48,4428,Colombia,Colombia,derecho,175,77,26.92,3.66,0.06,0.06,0.0,0.83,39.02,7.317,40.45,1.06,1.52,44.82,0.25,12,0.3,0.77,1.57,2.93,50.69
J. Bolívar,La Equidad,CF,,,23,300000,22,1350,Venezuela,Venezuela,derecho,176,74,34.33,1.93,0.2,0.31,0.07,2.0,36.67,10.0,32.41,3.0,1.73,19.4,0.06,2,0.0,0.4,0.4,1.87,57.14
D. Fagúndez,Los Angeles Galaxy,LW,LAMF,LCMF,30,3000000,44,2777,Uruguay,"Uruguay, United States",derecho,171,57,12.0,1.33,0.16,0.07,0.0,0.91,25.0,17.857,31.93,1.52,0.68,45.05,0.07,2,0.23,0.19,1.78,1.26,41.03
A. Julio,Dallas,CF,RAMF,,29,3000000,33,2236,Ecuador,Ecuador,derecho,171,70,21.88,2.58,0.32,0.22,0.04,1.93,43.75,16.667,33.83,3.74,0.72,14.85,0.09,3,0.0,0.44,0.6,2.62,49.23
L. Suárez,Inter Miami,CF,,,38,3000000,46,4086,Uruguay,Uruguay,derecho,182,83,37.35,2.42,0.42,0.41,0.02,2.69,36.89,15.574,32.47,4.05,1.26,30.18,0.17,15,0.46,0.7,1.92,2.2,35.0
T. Chancalay,New England,CF,LWF,AMF,26,3000000,17,921,Argentina,Argentina,derecho,179,74,30.0,3.52,0.49,0.46,0.0,3.52,38.89,13.889,36.9,2.64,0.88,30.98,0.13,1,0.1,0.1,0.39,2.25,60.87
S. Moreno,Portland Timbers,RAMF,RW,,25,2500000,34,2793,Colombia,Colombia,derecho,173,67,40.63,4.29,0.16,0.2,0.0,2.22,36.23,7.246,39.64,2.64,1.51,38.25,0.16,6,0.61,0.64,1.45,4.83,56.0
N. Fernández Mercau,New York City,RCMF,AMF,CF,25,2500000,37,2968,Argentina,"Argentina, Spain",izquierdo,172,66,15.63,5.7,0.21,0.25,0.03,1.94,37.5,10.938,46.26,2.15,2.46,41.18,0.18,11,0.55,0.52,1.33,5.82,63.54
F. Fragapane,Unión Santa Fe,LW,LCMF,RW,32,2000000,33,1737,Argentina,"Argentina, Italy",derecho,167,66,25.81,1.81,0.05,0.14,0.0,0.83,31.25,6.25,35.59,2.07,1.35,36.27,0.16,2,0.16,0.57,1.55,1.66,40.63
R. Enrique,Orlando City,CF,,,24,2000000,40,2394,Argentina,Argentina,derecho,171,68,41.83,2.41,0.64,0.6,0.08,2.82,42.67,22.667,31.88,4.32,1.2,15.9,0.06,2,0.04,0.34,0.6,2.26,48.33
L. Muriel,Orlando City,CF,AMF,,34,2000000,42,2383,Colombia,Colombia,derecho,179,79,44.79,3.32,0.3,0.28,0.04,2.87,30.26,10.526,35.29,3.47,1.1,30.14,0.18,6,0.57,0.91,2.08,4.23,44.64
I. Angulo,Orlando City,LAMF,LW,,26,2000000,43,3296,Colombia,Colombia,derecho,179,70,19.23,3.03,0.05,0.12,0.0,1.12,29.27,4.878,42.67,3.03,0.98,32.22,0.13,7,0.11,0.41,2.13,3.66,58.96
F. Mora,Portland Timbers,CF,,,31,2000000,38,2398,Chile,Chile,derecho,175,76,34.68,1.46,0.3,0.41,0.08,1.8,47.92,16.667,34.78,3.42,1.73,17.45,0.11,4,0.04,0.34,0.75,0.79,57.14
J. Obrian,Austin FC,RW,RWF,LWF,30,2000000,35,1453,Colombia,Colombia,derecho,166,66,34.62,2.91,0.19,0.21,0.0,1.36,45.45,13.636,47.5,3.53,1.61,23.79,0.05,0,0.25,0.25,1.42,2.48,57.5
S. Ferreira,Olimpia,CF,,,27,1500000,21,764,Paraguay,Paraguay,derecho,180,76,35.56,1.65,0.59,0.49,0.35,2.12,61.11,27.778,21.54,3.42,0.94,16.26,0.01,0,0.12,0.12,0.35,1.06,33.33
N. Lodeiro,Nacional,AMF,RAMF,RW,36,1200000,34,1236,Uruguay,"Uruguay, United States",izquierdo,173,69,55.0,2.55,0.07,0.07,0.0,1.31,22.22,5.556,48.86,3.2,2.18,54.76,0.2,3,0.58,0.95,1.31,1.75,58.33
D. Rubio,Austin FC,CF,AMF,,32,1200000,30,1132,Chile,"Chile, Germany",derecho,179,77,37.93,1.67,0.08,0.21,0.08,2.15,18.52,3.704,37.23,2.86,1.75,27.91,0.07,2,0.16,0.64,1.19,1.35,35.29
N. Quiñones,Houston Dynamo,LW,LAMF,,22,1000000,6,531,Colombia,Colombia,derecho,175,67,80.0,4.07,0.0,0.13,0.0,2.2,46.15,0.0,41.54,4.07,0.85,32.37,0.08,0,0.34,0.51,1.69,5.59,45.45
